title,text
Angelina Veneziano,"Angelina Veneziano is a fictional character from the American CBS soap opera ""The Young and the Restless"".  She is portrayed by Diana DeGarmo, who is famed for being runner-up on the third season of the reality television competition ""American Idol"".  She was introduced by former executive producer and head writer Maria Arena Bell on October 31, 2011, as the daughter of mob boss Angelo Veneziano (Mike Starr).  Angelina was described as a mob boss daughter and aspiring singer by Zap2it.  DeGarmo described her as an over-the-top ""jersey girl"", and noted her flamboyant costumes and voice.  The show's executive producer and head writer Maria Arena Bell offered DeGarmo the role of Veneziano after seeing her performance of Penny Pingleton in the musical production of ""Hairspray""."
Richie Fitzpatrick,"Richard ""Richie"" Fitzpatrick (1880 – November 1, 1904) was a top gunman in the Monk Eastman gang, as well as a former member of the Five Points Gang, during the late 1890s until his death in 1904.  He is best known however for the method of eliminating an Eastman rival where he would meet with the person in question and, after being searched, would inform them that he would not follow Eastman's orders instead seeking to defect to the rival gang and as he excused himself to use the bathroom he would retrieve a planted gun and return surprising the person shooting the victim down.  This would later inspire the famous scene in ""The Godfather"" Saga."
Myles O'Donnell,"Myles O'Donnell was an Irish American bootlegger and mobster during the Roaring Twenties in Chicago during Prohibition.  He was most famous for being the founder of the West-side O'Donnell Mob aka the Westside O'Donnells or West-side gang (no relation to the South Side O'Donnells, a rival gang)."
Altamira prison brawl,"The Altamira prison brawl was a deadly fight that occurred on 4 January 2012 in Altamira, Tamaulipas, Mexico.  Officials from the state of Tamaulipas confirmed that 31 people were killed, with another thirteen injured.  The fight started after a drug gang burst into a section of the prison where they were banned from, attacking their rival gang housed there, triggering the fight.  During the altercation, the inmates used several kinds of white arms to kill their opponents.  The prisoners also used sticks and knives to massacre the members of the rival gang."
George Musey,"George Musey, also known as ""one-armed George Musey"", was an associate mob boss in Galveston, Texas, during the 1920s and early 1930s.  He, with the ""Beau Brummel of Galveston"" Johnny Jack Nounes, led the Downtown Gang, one of the two gangs which controlled Galveston underworld until the early 1930s.  Musey was the gang's top enforcer and would not let anyone ruin the rise of the Downtown Gang.  Bootlegging was his specialty, therefore, when the law would arrive to seize the illegal hooch, Musey always escaped.  However, he was convicted on conspiracy liquor charges and sent to Atlanta Penitentiary.  He went on to head the gang as Nounes's absence was in effect due to his prison terms.  He was the only right-hand man to gang boss Nounes and he was the best acting boss the gang ever had.  He was later assassinated in 1935, eight days after his 35th birthday."
Dan Healy (detective),"Daniel F. Healy (c. 1895 – July 8, 1980) was a Chicago detective who became famous when he killed the leader of the North Side Gang, Vincent Drucci, during an altercation, which occurred during the course of an arrest, on April 4, 1927.  By 1933 Healy had been made sergeant of the Chicago police"
Vincent Drucci,"Vincent Drucci, also known as ""The Schemer"" (born Vincenzo D'Ambrosio; 1898 – April 4, 1927), was an Sicilian-American mobster during Chicago's Prohibition era who was a member of the North Side Gang, Al Capone's best known rivals.  A friend of Dean O'Banion, Drucci succeeded him by becoming co-leader.  He is the only US organized crime boss to have been killed by a policeman."
Abraham Weinberg,"Abraham ""Bo"" Weinberg (January 7, 1900 – September 9, 1935) was a Jewish New York City mobster who became a hitman and chief lieutenant for the Prohibition-era gang boss Dutch Schultz.  As Schultz expanded his bootlegging operations into Manhattan during Prohibition, he recruited Abe Weinberg and his brother George into his gang.  Abe Weinberg would become one of Schultz's top gunmen during the Manhattan Bootleg Wars and was a later suspect in the high-profile gangland slayings of Jack ""Legs"" Diamond, Vincent ""Mad Dog"" Coll, and mob boss Salvatore Maranzano."
Al Capone,"Alphonse Gabriel Capone ( ; ] ; January 17, 1899 – January 25, 1947), sometimes known by the nickname Scarface, was an American mobster, crime boss and businessman who attained fame during the Prohibition era as the co-founder and boss of the Chicago Outfit.  His seven-year reign as crime boss ended when he was 33 years old."
Yves Buteau,"Yves Buteau (also known as, Yves ""le Boss"" Buteau) (1951–1983) was known for being a part of motorcycle gangs such as the Hells Angels in Canada, and was murdered by a drug dealer with ties to a rival gang.  He began his life of organized crime as a member of the Montreal-based motorcycle gang called, the Popeyes Motorcycle Club.  By the mid-1970s, he became president.  Buteau would soon play a significant role in establishing the Angels as a major criminal force in Quebec."
His Dark Materials,"His Dark Materials is an epic trilogy of fantasy novels by Philip Pullman consisting of ""Northern Lights"" (1995, published as ""The Golden Compass"" in North America), ""The Subtle Knife"" (1997), and ""The Amber Spyglass"" (2000).  It follows the coming of age of two children, Lyra Belacqua and Will Parry, as they wander through a series of parallel universes.  The three novels have won a number of awards, most notably the 2001 Whitbread Book of the Year prize, won by ""The Amber Spyglass"".  ""Northern Lights"" won the Carnegie Medal for children's fiction in the UK in 1995.  The trilogy took third place in the BBC's Big Read poll in 2003."
The Book of Dust,"The Book of Dust is a forthcoming trilogy of fantasy novels by Philip Pullman.  It is a companion trilogy to the ""His Dark Materials"" trilogy.  The first book is set 10 years before ""Northern Lights"" and centres on Lyra Belacqua, one of the protagonists of the original trilogy.  Alethiometers, dæmons and the Magisterium also return, alongside new characters, including a new hero."
The Subtle Knife,"The Subtle Knife, the second book in the ""His Dark Materials"" series, is a young-adult fantasy novel written by Philip Pullman and published in 1997.  The novel continues the adventures of Lyra Belacqua as she investigates the mysterious Dust phenomenon and searches for her father.  Will Parry is introduced as a companion to Lyra, and together they explore the new realms to which they have both been introduced."
Lyra (song),"""Lyra"" is a song written, produced, and performed by British recording artist Kate Bush, from the 2007 soundtrack album ""The Golden Compass"" from the film of the same name.  It is used in the closing credits of the film.  Bush was commissioned to write the song, with the request that it make reference to the lead character, Lyra Belacqua."
Northern Lights (novel),"Northern Lights (known as The Golden Compass in North America and some other countries) is a young-adult fantasy novel by Philip Pullman, published by Scholastic UK in 1995.  Set in a parallel universe, it features the journey of Lyra Belacqua to the Arctic in search of her missing friend, Roger Parslow, and her imprisoned uncle, Lord Asriel, who has been conducting experiments with a mysterious substance known as ""Dust""."
Will Parry (His Dark Materials),"William Parry is one of the protagonists in Philip Pullman's trilogy ""His Dark Materials"", along with Lyra Belacqua.  He first appears in the series at the start of the second novel, ""The Subtle Knife"", and continues through to the final book, ""The Amber Spyglass"".  Introduced as a 12-year-old boy, he meets and befriends Lyra in the world of Cittàgazze and teams up with her in order to uncover the mysteries of Dust and the disappearance of his own father many years previously.  He later takes possession of the Subtle Knife which he uses to aid Lord Asriel in his bid to destroy the Authority."
Lyra Belacqua,"Lyra Belacqua , also known as Lyra Silvertongue, is the heroine of Philip Pullman's ""His Dark Materials"" trilogy.  Lyra is a young girl who inhabits a universe parallel to our own.  Brought up in the cloistered world of Jordan College, Oxford, she finds herself embroiled in a cosmic war between Lord Asriel on the one side, and the first angel to come into being, called The Authority, and his Regent, called Metatron, on the other."
Parallel universe (fiction),"A parallel universe is a hypothetical self-contained reality co-existing with one's own.  A specific group of parallel universes are called a ""multiverse"", although this term can also be used to describe the possible parallel universes that constitute reality.  While the terms ""parallel universe"" and ""alternative reality"" are generally synonymous and can be used interchangeably in most cases, there is sometimes an additional connotation implied with the term ""alternative reality"" that implies that the reality is a variant of our own.  The term ""parallel universe"" is more general, without any connotations implying a relationship, or lack of relationship, with our own universe.  A universe where the very laws of nature are different – for example, one in which there are no Laws of Motion – would in general count as a parallel universe but not an alternative reality and a concept between both fantasy world and earth."
Northern Lights Audio,"Northern Lights is a book by Philip Pullman, written in 1995.  The BBC and Cavalcade audiobook was first recorded in 2002"
Lyra's Oxford,"Lyra's Oxford is a short book by Philip Pullman depicting an episode involving the heroine of ""His Dark Materials"", Pullman's best-selling trilogy.  ""Lyra's Oxford"" is set when Lyra Belacqua is 15, two years after the end of the trilogy."
Seven-dimensional cross product,"In mathematics, the seven-dimensional cross product is a bilinear operation on vectors in seven-dimensional Euclidean space.  It assigns to any two vectors a, b in R a vector a × b also in R. Like the cross product in three dimensions, the seven-dimensional product is anticommutative and a × b is orthogonal both to a and to b. Unlike in three dimensions, it does not satisfy the Jacobi identity, and while the three-dimensional cross product is unique up to a sign, there are many seven-dimensional cross products.  The seven-dimensional cross product has the same relationship to the octonions as the three-dimensional product does to the quaternions."
Charles and Ray Eames,"Charles Ormond Eames, Jr (1907–1978) and Bernice Alexandra ""Ray"" Kaiser Eames (1912–1988) were husband and wife American designers who made significant historical contributions to the development of modern architecture and furniture.  Among their most well-known designs is the Eames Lounge Chair.  They also worked in the fields of industrial and graphic design, fine art and film."
3-sphere,"In mathematics, a 3-sphere is a higher-dimensional analogue of a sphere.  It consists of the set of points equidistant from a fixed central point in 4-dimensional Euclidean space.  Analogous to how an ordinary sphere (or 2-sphere) is a two-dimensional surface that forms the boundary of a ball in three dimensions, a 3-sphere is an object with three dimensions that forms the boundary of a ball in four dimensions.  A 3-sphere is an example of a 3-manifold."
LC4MP,"The Limited Capacity Model of Motivated Mediated Message Processing or LC4MP is an explanatory theory that assumes humans have a limited capacity for cognitive processing of information, as it associates with mediated message variables; moreover, they (viewers) are actively engaged in processing mediated information Like many mass communication theories, LC4MP is an amalgam that finds its origins in psychology.  Specifically, this theory has its origins in the Limited Capacity Model for understanding cognitive information processing.  The most fundamental assumptions of information processing are the three dimensions of cognitive processing.  The three dimensions: 1) encoding, 2) storage, and 3) retrieval.  This is how viewers get presented information into their heads.  Messages can be processed under controlled conditions or they can be automatically elicited."
Model 3107 chair,The Model 3107 chair is a chair designed by Arne Jacobsen in 1955 that uses the previously invented technique through which plywood can be bent in three dimensions (which was invented by Charles and Ray Eames).  Over 5 million units have been produced exclusively by Fritz Hansen.  It is one of the most copied chairs in the world.
Dihedral symmetry in three dimensions,"In geometry, dihedral symmetry in three dimensions is one of three infinite sequences of point groups in three dimensions which have a symmetry group that as abstract group is a dihedral group Dih ( ""n"" ≥ 2 )."
Motion estimation,"Motion estimation is the process of determining motion vectors that describe the transformation from one 2D image to another; usually from adjacent frames in a video sequence.  It is an ill-posed problem as the motion is in three dimensions but the images are a projection of the 3D scene onto a 2D plane.  The motion vectors may relate to the whole image (global motion estimation) or specific parts, such as rectangular blocks, arbitrary shaped patches or even per pixel.  The motion vectors may be represented by a translational model or many other models that can approximate the motion of a real video camera, such as rotation and translation in all three dimensions and zoom."
Space group,"In mathematics, physics and chemistry, a space group is the symmetry group of a configuration in space, usually in three dimensions.  In three dimensions, there are 219 distinct types, or 230 if chiral copies are considered distinct.  Space groups are also studied in dimensions other than 3 where they are sometimes called Bieberbach groups, and are discrete cocompact groups of isometries of an oriented Euclidean space."
Flight dynamics (fixed-wing aircraft),"Flight dynamics is the science of air vehicle orientation and control in three dimensions.  The three critical flight dynamics parameters are the angles of rotation in three dimensions about the vehicle's center of mass, known as ""pitch"", ""roll"" and ""yaw""."
Orientation (vector space),"In mathematics, orientation is a geometric notion that in two dimensions allows one to say when a cycle goes around clockwise or counterclockwise, and in three dimensions when a figure is left-handed or right-handed.  In linear algebra, the notion of orientation makes sense in arbitrary finite dimension.  In this setting, the orientation of an ordered basis is a kind of asymmetry that makes a reflection impossible to replicate by means of a simple rotation.  Thus, in three dimensions, it is impossible to make the left hand of a human figure into the right hand of the figure by applying a rotation alone, but it is possible to do so by reflecting the figure in a mirror.  As a result, in the three-dimensional Euclidean space, the two possible basis orientations are called right-handed and left-handed (or right-chiral and left-chiral)."
