id,title,text
1,Miley Cyrus,"Miley Ray Hemsworth (née Cyrus, born Destiny Hope Cyrus; November 23, 1992) is an American singer, songwriter, actress, and philanthropist. Her music has spanned a range of styles, including pop, country pop, and hip hop. Cyrus' personal life, public image, and performances have often sparked controversy and received widespread media coverage. She is widely considered to be one of the most successful entertainers in adulthood that originated as a child star. Among numerous awards and nominations, Cyrus was included on the ""Time"" 100 list in both 2008 and 2014, named MTV's Artist of the Year in 2013, and was ranked 62nd on ""Billboard""s Top 125 Artists of All Time list in 2019. Cyrus was born in Franklin, Tennessee, and is a daughter of country music singer Billy Ray Cyrus. She became a teen idol as the title character of the Disney Channel television series ""Hannah Montana"" (2006–2011), through which media franchise she attained two number-one and three top-ten soundtracks on the US ""Billboard"" 200, and the top-ten single ""He Could Be the One"" on the US ""Billboard"" Hot 100. Cyrus' own discography includes the US number-one albums  (2007), ""Breakout"" (2008), and ""Bangerz"" (2013); the top-five releases ""Can't Be Tamed"" (2010), ""Younger Now"" (2017), and ""She Is Coming"" (2019); and ""Miley Cyrus & Her Dead Petz"" (2015), which was released for free online streaming on SoundCloud. Her singles include the US top ten-charting ""See You Again7 ThingsThe ClimbParty in the U.S.A.Can't Be TamedWe Can't StopMalibu"", and the chart-topping ""Wrecking Ball"". Her upcoming seventh studio album, "" She Is Miley Cyrus"", is expected to be released in 2020. In total, Cyrus has sold more than 20 million albums and 55 million singles worldwide. Cyrus' filmography includes the animated film ""Bolt"" (2008), and the feature films  (2009) and ""The Last Song"" (2010). On television, she was the host of the 2015 MTV Video Music Awards and has hosted "" Saturday Night Live"" three times since 2011. Cyrus has been featured as a coach on the singing competition television series ""The Voice""; she has appeared in two seasons of the show since her debut in 2016. In 2019, she became the first female to enter the ""Billboard"" charts under three different names with her entry as the character Ashley O, whom she portrayed in an episode of the science fiction television series ""Black Mirror"". Cyrus is an outspoken animal rights advocate, and adopted a vegan lifestyle in 2014. That year, she founded the non-profit Happy Hippie Foundation, which focuses on youth homelessness and the LGBT community."
2,Lars Eliasson,He is the father of the later Member of Parliament Anna Eliasson.
3,Angelica Jones,Angelica Jones is a singer actress and politician in the Philippines. And also known as a singer who sang the novelty song “ Miss Flawless ”.
4,Pydimarri Venkata Subba Rao,"Pydimarri Venkata Subba Rao( June 10, 1916 – 1988) was a Telugu author who is best remembered as the composer of the National Pledge of India."
5,Kim Bum-soo,"Kim Bum-soo( born January 26, 1979), is a South Korean singer who is widely considered one of the country's best vocalists. Kim debuted in 1999 with the album,"" A Promise"", and in 2001, he charted on the"" Billboard"" Hot Singles Sales chart with his song"" Hello Goodbye Hello"" which reached number 51. He is best known for the song,"" I Miss You,"" which was featured on the soundtrack for the 2003 Korean drama,"" Stairway to Heaven""."
6,Alonso Mudarra,"Alonso Mudarra( c. 1510 – April 1, 1580) was a Spanish composer of the Renaissance, and also played the vihuela, a guitar- shaped string instrument. He was an innovative composer of instrumental music as well as songs, and was the composer of the earliest surviving music for the guitar."
7,Obata Toramori,He was the father of Obata Masamori.
8,Miss You (Yuna Ito song),"""Miss You"" is the 11th single of Japanese artist Yuna Ito slated for a release on September 3, 2008. ""Miss You"" is currently being used as the Ito En Vitamin Fruit CM song. Miss You was the inspiring song for the cell phone novel ."
9,Miss You (M-flo song),""" Miss You"" is the 15th single of m-flo and was released on 22 October 2003."
10,I Miss You (Miley Cyrus song),"""I Miss You"" is a song by American recording artist, Miley Cyrus. It was co-written by Cyrus (credited under her birth name Destiny Hope Cyrus), Brian Green, Wendy Foy Green, and produced by Brian Green. ""I Miss You"" is an homage to Cyrus' late grandfather, Ron Cyrus, who died on February 28, 2006. He was diagnosed with mesothelioma, and, seeing her grandfather nearing death, Cyrus wanted to write him a song prior to his death. It was released to Radio Disney mid-year 2007 as promotion for the dual disc . The song is a ballad with rock and country influences. The song received generally positive reviews from music critics; some commented on how it deviated from her usual material at the time and how effective the message was. ""I Miss You"" appeared on two United States charts: it peaked at number nine on Bubbling Under Hot 100 Singles, an extension of the ""Billboard"" Hot 100 chart, and at number ninety-two on the defunct Pop 100. Cyrus performed the song on acoustic guitar as an encore at several stops on her first headlining concert tour, the Best of Both Worlds Tour (2007–08)."
11,Dorothea Maria of Anhalt,"Dorothea Maria of Anhalt (Dessau, 2 July 1574 – Weimar, 18 July 1617), was by birth a member of the House of Ascania and princess of Anhalt. After her marriage, she became Duchess of Saxe-Weimar. Dorothea Maria was the sixth daughter of Joachim Ernest, Prince of Anhalt, but second-born daughter by his second wife Eleonore, daughter of Christoph, Duke of Württemberg."
12,"Joachim Ernest, Prince of Anhalt","Joachim Ernest of Anhalt (21 October 1536 – 6 December 1586), was a German prince of the House of Ascania, ruler of the principality of Anhalt-Zerbst from 1551, and from 1570 sole ruler of all the Anhalt lands."
13,"Joachim Ernst, Duke of Anhalt","Joachim Ernst, Duke of Anhalt( 11 January 1901 – 18 February 1947) was the last ruler of the Duchy of Anhalt."
